index;SOURCE;Shape_Area;Shape_Leng;canal;canal_govt;canal_pvt;did;dist_name;drnk_wat_f;dstcd;file;gp_name;gpcode;handpump;lake;lake_irr;land_fores;name;no_hh;orig_fid;oth_irr;p_ill;p_lit;p_sc;p_sch;p_st;rang_wat_f;river;river_irr;sdst_name;sdstcd;sid;spring;stat_name;stcd;tank;tank_irr;tap;tehs_name;tid;tot_f;tot_irr;tot_m;tot_p;tot_wk_f;tot_wk_m;tot_wk_p;tubewell;tw_w_el;tw_wo_el;un_irr;vid;vill_code;vlgcd2011;w_fall;well;well_w_el;well_wo_el;UID
0;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000291218464824;0.074154987888;0.0;0.0;0.0;06;Karnal;0.0;;in_bhuvan_village_state_HR.shp;;;0.0;0.0;0.0;0.0;Taraor;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;06;0.0;HR;;0.0;0.0;0.0;Nilokheri;0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0606000100000000;00000000;;0.0;0.0;0.0;0.0;613945
1;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;8.57315920753e-05;0.0378826062586;0.0;0.0;0.0;06;Karnal;0.0;;in_bhuvan_village_state_HR.shp;;;0.0;0.0;0.0;0.0;Depot;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;06;0.0;HR;;0.0;0.0;0.0;Karnal;0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0606000300000000;00000000;;0.0;0.0;0.0;0.0;613946
2;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.00022089050096;0.0692701247104;0.0;0.0;0.0;06;Karnal;0.0;;in_bhuvan_village_state_HR.shp;;;0.0;0.0;0.0;0.0;Dodwa;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;06;0.0;HR;;0.0;0.0;0.0;Nilokheri;0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0606000100000000;00000000;;0.0;0.0;0.0;0.0;613947
3;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000445969890754;0.0881421757559;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Bir Dhandari /;112.0;4.0;139.0;354.0;303.0;3.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;139.0;1.0;Nilokheri;0001;332.0;89.0;325.0;657.0;73.0;168.0;241.0;1.0;0.0;0.0;0.0;0606000100208300;00208300;;0.0;1.0;0.0;0.0;613948
4;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000341655216272;0.0895056881392;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Khawaja Ahmadpur;192.0;4.0;0.0;502.0;584.0;391.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;36.0;1.0;Nilokheri;0001;511.0;138.0;575.0;1086.0;151.0;292.0;443.0;1.0;6.0;0.0;0.0;0606000100209100;00209100;;0.0;2.0;0.0;0.0;613949
5;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.00162987353296;0.153073306732;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Sambhli;1112.0;3.0;0.0;2940.0;3463.0;1730.0;5.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;826.0;1.0;Karnal;0003;3011.0;235.0;3392.0;6403.0;520.0;1683.0;2203.0;1.0;35.0;0.0;0.0;0606000300233500;00233500;;613.0;1.0;0.0;0.0;613950
6;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.00099390017031;0.136039917854;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Gunana;415.0;5.0;0.0;1157.0;1180.0;499.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;266.0;1.0;Karnal;0003;1101.0;303.0;1236.0;2337.0;165.0;594.0;759.0;1.0;0.0;0.0;0.0;0606000300234200;00234200;;0.0;2.0;0.0;0.0;613951
7;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000342217766243;0.070854586179;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Bir Badalwa;613.0;5.0;0.0;1402.0;1797.0;1746.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;259.0;1.0;Nilokheri;0001;1491.0;228.0;1708.0;3199.0;508.0;919.0;1427.0;1.0;3.0;0.0;0.0;0606000100207800;00207800;;0.0;2.0;0.0;0.0;613952
8;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000131010725175;0.0518743967024;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Sherpur Viran;68.0;1.0;0.0;190.0;162.0;10.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;20.0;1.0;Nilokheri;0001;173.0;56.0;179.0;352.0;72.0;91.0;163.0;1.0;0.0;0.0;0.0;0606000100211500;00211500;;0.0;2.0;0.0;0.0;613953
9;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000323751274038;0.0776148820623;2.0;0.0;0.0;05;Kaithal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Ahmedpur;155.0;1.0;26.0;523.0;414.0;203.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;71.0;1.0;Kaithal;0002;433.0;199.0;504.0;937.0;200.0;261.0;461.0;2.0;0.0;0.0;0.0;0605000200203000;00203000;;0.0;1.0;0.0;0.0;613954
10;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000607050971726;0.100553896273;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Majra Roran;534.0;2.0;549.0;1414.0;1677.0;622.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;86.0;1.0;Nilokheri;0001;1425.0;33.0;1666.0;3091.0;297.0;793.0;1090.0;1.0;0.0;0.0;0.0;0606000100207400;00207400;;0.0;1.0;0.0;0.0;613955
11;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000441918983928;0.0958210303567;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Anjan Thali;448.0;1.0;77.0;1422.0;1234.0;544.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;348.0;1.0;Nilokheri;0001;1207.0;0.0;1449.0;2656.0;355.0;733.0;1088.0;1.0;40.0;0.0;0.0;0606000100208900;00208900;;0.0;2.0;0.0;0.0;613956
12;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000252770487892;0.0614538110934;2.0;0.0;0.0;04;Kurukshetra;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Kaulapur;371.0;2.0;0.0;953.0;1429.0;412.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;0.0;1.0;Thanesar;0003;1083.0;223.0;1299.0;2382.0;375.0;710.0;1085.0;1.0;0.0;0.0;0.0;0604000300162300;00162300;;0.0;2.0;0.0;0.0;613957
13;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000256234226693;0.0775786048072;2.0;0.0;0.0;04;Kurukshetra;1.0;;in_bhuvan_village_state_HR.shp;;;2.0;2.0;0.0;0.0;Dhudhla;303.0;4.0;9.0;724.0;980.0;295.0;2.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;0.0;1.0;Thanesar;0003;784.0;354.0;920.0;1704.0;200.0;489.0;689.0;1.0;0.0;0.0;0.0;0604000300162700;00162700;;0.0;0.0;0.0;0.0;613958
14;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000190059608248;0.0657984691671;2.0;0.0;0.0;06;Karnal;1.0;;in_bhuvan_village_state_HR.shp;;;1.0;2.0;0.0;0.0;Dabkauli Khurd /;107.0;5.0;0.0;403.0;190.0;495.0;1.0;0.0;0.0;2.0;0.0;;;06;2.0;HR;;2.0;0.0;1.0;Karnal;0003;284.0;395.0;309.0;593.0;28.0;122.0;150.0;2.0;0.0;0.0;0.0;0606000300225100;00225100;;0.0;2.0;0.0;0.0;613959
