index;SOURCE;Shape_Area;Shape_Leng;canal;canal_govt;canal_pvt;did;dist_name;drnk_wat_f;dstcd;file;gp_name;gpcode;handpump;lake;lake_irr;land_fores;name;no_hh;orig_fid;oth_irr;p_ill;p_lit;p_sc;p_sch;p_st;rang_wat_f;river;river_irr;sdst_name;sdstcd;sid;spring;stat_name;stcd;tank;tank_irr;tap;tehs_name;tid;tot_f;tot_irr;tot_m;tot_p;tot_wk_f;tot_wk_m;tot_wk_p;tubewell;tw_w_el;tw_wo_el;un_irr;vid;vill_code;vlgcd2011;w_fall;well;well_w_el;well_wo_el;UID
0;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000438794428344;0.0902179509376;0.0;3.03;0.0;02;West Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Parrengaon;233.0;3.0;0.0;818.0;379.0;0.0;2.0;481.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Soreng;0002;575.0;3.03;622.0;1197.0;346.0;395.0;741.0;0.0;0.0;0.0;420.4;1102000200013400;00013400;;0.0;0.0;0.0;0.0;23240
1;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000419907636046;0.112246602969;0.0;42.14;0.0;02;West Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Rumbuk;210.0;1.0;0.0;496.0;640.0;33.0;3.0;244.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Soreng;0002;563.0;42.14;573.0;1136.0;234.0;286.0;520.0;0.0;0.0;0.0;192.69;1102000200015200;00015200;;0.0;0.0;0.0;0.0;23241
2;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;8.09294984614e-05;0.0415473680474;0.0;0.0;0.0;03;South Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Saleumbong;114.0;4.0;0.0;271.0;351.0;87.0;1.0;15.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Namchi;0001;292.0;0.0;330.0;622.0;176.0;225.0;401.0;0.0;0.0;0.0;124.09;1103000100021300;00021300;;0.0;0.0;0.0;0.0;23242
3;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000378235017909;0.0814963519325;0.0;0.0;0.0;02;West Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Tinzerbong;197.0;4.0;0.0;368.0;637.0;39.0;2.0;39.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Soreng;0002;455.0;0.0;550.0;1005.0;34.0;271.0;305.0;0.0;0.0;0.0;156.4;1102000200013700;00013700;;0.0;0.0;0.0;0.0;23243
4;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.00011306630317;0.0458170552548;0.0;0.0;0.0;03;South Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Mangbrue;40.0;5.0;0.0;114.0;115.0;7.0;1.0;118.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Ravong;0002;104.0;0.0;125.0;229.0;58.0;71.0;129.0;0.0;0.0;0.0;40.61;1103000200029100;00029100;;0.0;0.0;0.0;0.0;23244
5;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000236437673156;0.0746090503838;0.0;0.0;0.0;03;South Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Kopchey;244.0;1.0;0.0;439.0;801.0;0.0;3.0;155.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Namchi;0001;625.0;0.0;615.0;1240.0;187.0;326.0;513.0;0.0;0.0;0.0;170.15;1103000100019900;00019900;;0.0;0.0;0.0;0.0;23245
6;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000222879274118;0.0730385440128;0.0;2.4;0.0;02;West Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Dubdi;69.0;1.0;0.0;281.0;121.0;0.0;1.0;0.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Gyalshing;0001;185.0;2.4;217.0;402.0;85.0;122.0;207.0;0.0;0.0;0.0;174.37;1102000100005400;00005400;;0.0;0.0;0.0;0.0;23246
7;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000243740432554;0.0794242224073;0.0;1.6;0.0;03;South Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Sukrabarey;227.0;2.0;0.0;387.0;719.0;59.0;4.0;18.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Namchi;0001;537.0;1.6;569.0;1106.0;359.0;385.0;744.0;0.0;0.0;0.0;165.22;1103000100022600;00022600;;0.0;0.0;0.0;0.0;23247
8;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.000246148956233;0.0693890689726;0.0;0.0;0.0;03;South Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Gumpa-ghurpisey;329.0;1.0;0.0;456.0;1140.0;82.0;3.0;504.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Namchi;0001;783.0;0.0;813.0;1596.0;206.0;430.0;636.0;0.0;0.0;0.0;101.27;1103000100021200;00021200;;0.0;0.0;0.0;0.0;23248
9;http://www.bhuvan-panchayat.nrsc.gov.in:8080/geoserver/;0.00101270984911;0.132878700051;0.0;0.0;0.0;02;West Sikkim;1.0;;in_bhuvan_village_state_SK.shp;;;0.0;0.0;0.0;0.0;Gangyep;99.0;1.0;0.0;452.0;175.0;1.0;2.0;606.0;0.0;0.0;0.0;;;11;1.0;SK;;0.0;0.0;1.0;Gyalshing;0001;293.0;0.0;334.0;627.0;152.0;170.0;322.0;0.0;0.0;0.0;483.18;1102000100008500;00008500;;0.0;0.0;0.0;0.0;23249
