index;SOURCE;Shape_Area;Shape_Leng;canal;canal_govt;canal_pvt;did;dist_name;drnk_wat_f;dstcd;file;gp_name;gpcode;handpump;lake;lake_irr;land_fores;name;no_hh;orig_fid;oth_irr;p_ill;p_lit;p_sc;p_sch;p_st;rang_wat_f;river;river_irr;sdst_name;sdstcd;sid;spring;stat_name;stcd;tank;tank_irr;tap;tehs_name;tid;tot_f;tot_irr;tot_m;tot_p;tot_wk_f;tot_wk_m;tot_wk_p;tubewell;tw_w_el;tw_wo_el;un_irr;vid;vill_code;vlgcd2011;w_fall;well;well_w_el;well_wo_el;UID
59;;0.000146483434055;0.0508522126519;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Gangaghat (MB);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Unnao;00816;;0.0;;09;0.0;0.0;0.0;Sikandarpur Sarausi;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42614000;;0.0;0.0;0.0;0.0;3225
285;;0.000138034453687;0.0566920814894;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Bhagwant Nagar (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Bighapur;00818;;0.0;;09;0.0;0.0;0.0;Sumerpur;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42619000;;0.0;0.0;0.0;0.0;3451
369;;0.000154230000849;0.0505309160294;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Bighapur (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Bighapur;00818;;0.0;;09;0.0;0.0;0.0;Bighapur;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42618000;;0.0;0.0;0.0;0.0;3535
1341;;0.000255761375913;0.0699301971445;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Purwa (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Purwa;00817;;0.0;;09;0.0;0.0;0.0;Purwa;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42616000;;0.0;0.0;0.0;0.0;4507
1518;;0.00055550201829;0.127483003069;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Maurawan (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Purwa;00817;;0.0;;09;0.0;0.0;0.0;Hilauli;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42617000;;0.0;0.0;0.0;0.0;4684
1591;;0.000110124938006;0.0447215989241;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Ganj Muradabad (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Safipur;00814;;0.0;;09;0.0;0.0;0.0;Ganj Moradabad;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42601000;;0.0;0.0;0.0;0.0;4757
1644;;4.71186434349e-05;0.0297815009694;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Hyderabad (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Hasanganj;00815;;0.0;;09;0.0;0.0;0.0;Mianganj;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42608000;;0.0;0.0;0.0;0.0;4810
1648;;0.00319863258956;0.261986736629;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Unnao (MB);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Unnao;00816;;0.0;;09;0.0;0.0;0.0;Sikandarpur Sarausi;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42613000;;0.0;0.0;0.0;0.0;4814
1652;;5.09721669966e-05;0.03256087882;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Nyotini (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Hasanganj;00815;;0.0;;09;0.0;0.0;0.0;Hasanganj;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42611000;;0.0;0.0;0.0;0.0;4818
1685;;0.000422354801034;0.0835945195863;0.0;0.0;0.0;;Unnao;0.0;156;in_bhuvan_village_d_156.shp;;;0.0;0.0;0.0;0.0;Kursath (NP);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Safipur;00814;;0.0;;09;0.0;0.0;0.0;Bangarmau;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;42606000;;0.0;0.0;0.0;0.0;4851
